,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
6910,0,88.33,55,0,0.29718,1464,1501.61,88.33,0,Syrup
6911,0.71,12.14,8.57,0,0,209,234.07,12.85,0,Unsweetened Blueberries
6912,0,0,0,0,0.03302,0,0,0,0,"Diet Soda, Cola"
6913,0,10.42,10.14,0,0.04318,163,177.14,10.42,0,Soda
6914,0,12.11,11.83,0,0.0508,188,205.87,12.11,0,Root Beer
6915,0,10.99,10.42,0,0.04572,163,186.83,10.99,0,"Soda, Dr. Wow"
6916,0,13.8,13.24,0,0.04572,213,234.6,13.8,0,"Soda, Grape"
6917,0,11.83,11.27,0,0.02794,176,201.11,11.83,0,"Soda, Cola"
6918,0,12.11,11.83,0,0.0508,188,205.87,12.11,0,"Caffine Free Soda, Root Beer"
6919,0,13.8,13.8,0,0.02032,234,234.6,13.8,0,Orange Soda
6920,0,12.68,12.39,0,0.04572,201,215.56,12.68,0,"Soda, Cream"
6921,0,13.52,12.96,0,0.0635,213,229.84,13.52,0,"Soda, Wild Mountain Citrus"
6922,0,10.99,10.42,0,0.04572,163,186.83,10.99,0,Soda
6923,0,13.8,13.24,0,0.04572,213,234.6,13.8,0,Soda
6924,0,11.83,11.27,0,0.02794,176,201.11,11.83,0,Cola
6925,0,12.11,11.83,0,0.0508,188,205.87,12.11,0,"Soda, Root Beer"
6926,0,13.8,13.52,0,0.04572,213,234.6,13.8,0,Caffeine Free Soda
6927,0,13.52,12.96,0,0.0635,213,229.84,13.52,0,Soda
6928,0,12.96,12.96,0,0.01524,213,220.32,12.96,0,"Soda, Black Cherry"
6930,2.56,42.74,10.26,4.27,0.93472,858,899.01,49.57,0,"Pancakes, Buttermilk"
6931,18.18,81.82,63.64,0,0,1904,2099.96,100,0,Coffee Creamer
6932,22.73,72.73,54.55,0,0.1143,1904,2122.88,95.46,0,Coffee Creamer
6933,22.73,72.73,54.55,0,0.23114,1904,2122.88,95.46,0,Coffee Creamer
6934,0,13.52,12.96,0,0.0635,213,229.84,13.52,0,"Soda, Wild Mountain Citrus"
6935,0,10.7,10.7,0,0.04318,163,181.9,10.7,0,"Soda, Lemon Lime"
6936,0,0,0,0,0.04318,0,0,0,0,"Diet Soda, Wild Mountain Citrus"
6937,0,10.42,10.14,0,0.04318,163,177.14,10.42,0,"Caffeine Free Soda, Lemon Lime"
6938,0,12.96,12.68,0,0.04572,201,220.32,12.96,0,"Soda, Fruit Punch"
6939,0,12.68,12.39,0,0.0508,201,215.56,12.68,0,"Soda, Peach"
6940,0,0,0,0,0.01778,0,0,0,0,"Diet Soda, Dr. Wow"
6941,0,0,0,0,0.04318,0,0,0,0,"Diet Soda, Wild Mountain Citrus"
6942,0,78.57,1.79,7.14,3.31216,1494,1457.07,85.71,0,Yellow Rice Mix With Saffron
6943,2.17,86.96,39.13,0,0.10922,1636,1562.95,89.13,0,"Curious George, Fruit Flavored Snacks"
6944,9.09,69.7,21.21,6.06,2.30886,1648,1642.43,84.85,0,Cornbread & Muffin Mix
6945,25,50,6.25,6.25,1.66624,1833,1931.25,81.25,0,Snack Crackers
6949,3.39,6.78,0.85,4.24,1.04394,318,319.55,14.41,0,Beef Stew
6950,0,33.85,18.46,5.38,1.09474,644,666.91,39.23,0,Grill Style Beans
6951,0,30,13.85,5.38,1.15316,577,601.46,35.38,0,Grill Style Beans
6952,0,29.23,13.85,5.38,1.11252,577,588.37,34.61,0,Grill Style Firesides Beans
6953,0,31.54,15.38,5.38,1.21158,611,627.64,36.92,0,Firesides Grill Style Beans
6954,0,4.96,2.48,0.83,0.50292,105,98.43,5.79,0,Fire Roasted Diced Tomatoes With Garlic
6955,0,17.14,15,0.71,0,297,303.45,17.85,0,Unsweetened Mango Chunks
6956,8.14,53.49,11.63,6.98,0.76708,1364,1345.45,68.61,0,Pre-Baked Dinner Yeast Roll
6957,78.57,0,0,0,1.99644,2987,3064.23,78.57,0,Soft Margarine
6958,0,80,53.33,3.33,0.127,1393,1416.61,83.33,0,Mini Marshmallows
6960,7.69,79.49,41.03,2.56,1.43256,1715,1694.76,89.74,0,Premium Cake Mix
6961,7.69,79.49,43.59,2.56,2.0193,1611,1694.76,89.74,0,Red Velvet Premium Cake Mix
6962,43.33,0,0,20,3.89382,1954,2029.87,63.33,0,Sliced Pepperoni
6963,0,65,37.5,2.5,0,1046,1147.5,67.5,0,Pitted Prunes Dried Plums
6964,15,56.67,3.33,6.67,1.86182,1674,1661.78,78.34,0,Baked Snack Crackers
6965,17.24,65.52,48.28,3.45,0.56896,1732,1844.85,86.21,0,Fudge Covered Marshmallow Cookies
6966,0,6.56,3.28,1.64,1.4986,138,139.4,8.2,0,Salsa Bowls
6967,0,4.92,1.64,1.64,1.24968,67,111.52,6.56,0,Restaurant Style Salsa Bowls
6968,0,6.56,3.28,1.64,1.4986,138,139.4,8.2,0,Salsa Bowls
6969,25,60.71,3.57,7.14,2.26822,2092,2128.45,92.85,0,Cooked Potato Chips
6970,35.71,57.14,0,7.14,1.63322,2389,2485.45,99.99,0,Classic Potato Chips
6971,35.71,57.14,0,7.14,1.63322,2389,2485.45,99.99,0,Wavy Potato Chips
6972,32.14,57.14,3.57,7.14,1.81356,2243,2346.22,96.42,0,Potato Chips
6973,35.71,57.14,0,7.14,1.63322,2389,2485.45,99.99,0,Classic Potato Chips
6974,28.57,60.71,0,7.14,1.36144,2243,2267.68,96.42,0,Cooked Potato Chips
6975,35.71,57.14,0,7.14,1.45034,2389,2485.45,99.99,0,Corn Chips
6976,0,83.33,3.33,10,2.71018,1536,1586.61,93.33,0,Pretzel Minitwists
6977,3.33,83.33,13.33,6.67,1.524,1674,1659.87,93.33,0,Braided Pretzel
6978,23.33,50,6.67,16.67,2.794,2092,2043.26,90,0,Pretzels Nuggets
6979,0,93.55,3.23,9.68,2.29362,1753,1754.91,103.23,1,Thin Twists Pretzel
6980,25,67.86,0,7.14,0.9525,2092,2250,100,0,Restaurant Style Tortilla Chips
6981,25,67.86,0,7.14,0.9525,2092,2250,100,0,"Red, White & Blue Tortilla Chips"
6982,46.43,35.71,3.57,7.14,2.35966,2540,2539.22,89.28,0,Popcorn
6983,35.71,46.43,10.71,10.71,2.99466,2243,2364.07,92.85,0,Popcorn
6984,28.57,60.71,3.57,7.14,1.81356,2092,2267.68,96.42,0,Tortilla Chips
6985,32.14,53.57,0,7.14,2.35966,2243,2285.53,92.85,0,"Popcorn, Butter"
6986,32.14,57.14,3.57,7.14,1.99644,2243,2346.22,96.42,0,"Potato Chips, Cheddar & Sour Cream"
6987,35.71,57.14,0,7.14,1.63322,2389,2485.45,99.99,0,Classic Potato Chips
6988,0.77,21.54,8.46,4.62,1.15316,452,474.75,26.93,0,Baked Beans
6989,0.77,23.08,10,4.62,1.07442,481,500.93,28.47,0,Baked Beans
6990,32.43,2.7,2.7,12.16,2.50444,1469,1517.39,47.29,0,Natural Smoked Bratwurst
6991,24.32,4.05,4.05,14.86,2.02438,1243,1269.95,43.23,0,Natural Casing Cheddar Bratwurst
6992,28.89,2.22,2.22,13.33,1.75006,1393,1391.06,44.44,0,Wieners
6993,28.89,2.22,2.22,13.33,2.42824,1393,1391.06,44.44,0,Coarse Ground Wieners
6994,16.92,23.08,1.54,9.23,1.24968,1222,1209.15,49.23,0,Battered Fish Fillets
6995,50,25,9.38,21.88,1.11252,2485,2746.96,96.88,0,Creamy Peanut Butter
6996,50,25,9.38,21.88,0.87376,2485,2746.96,96.88,0,Crunchy Peanut Butter
6997,16.28,41.86,9.3,4.65,2.12598,1460,1425.59,62.79,0,Big & Flaky Crescent Rolls
6998,0,10.83,9.17,0.83,0,192,198.22,11.66,0,Country Style Premium Juice
7000,0,12.5,11.67,0,0.01524,209,212.5,12.5,0,Lemonade Drink
7001,0,9.17,7.08,0.42,0,159,163.03,9.59,0,Premium 100% Juice
7003,0,87.1,29.03,6.45,1.22936,1485,1590.35,93.55,0,Crispy Rice & Wheat Flakes Cereal
7004,25,67.86,0,7.14,0.9525,2092,2250,100,0,Yellow Crispy Round Tortilla Chips
7005,0,29.41,23.53,0,2.39014,494,499.97,29.41,0,Ketchup
7006,20,66.67,6.67,6.67,2.032,1954,2026.78,93.34,0,Snack Wheat Crackers
7007,42.86,37.14,14.29,14.29,0.43434,2389,2545.85,94.29,0,Trail Mix
7010,30,46.67,33.33,13.33,0.508,1954,2190,90,0,"Trail Mix Classic Blend, Raisins, Peanuts, M&M's Milk Chocolate Candies, Almonds & Cashews"
7011,2.17,78.26,4.35,8.7,4.63804,1456,1562.95,89.13,0,Mashed Potatoes
7012,2.72,19.57,11.96,1.09,0.35814,456,457.3,23.38,0,Pudding Snacks
7013,2.17,21.74,14.13,0,0.37338,456,454.21,23.91,0,Pudding Snacks
7014,2.72,21.74,14.13,1.09,0.3175,502,494.19,25.55,0,Pudding Snacks
7015,2.72,22.83,15.22,1.09,0.35814,502,512.72,26.64,0,Pudding Snacks
7016,0,21.74,14.13,1.09,0.37338,410,388.11,22.83,0,Pudding Snacks
7017,2.72,21.74,14.13,1.09,0.34544,502,494.19,25.55,0,Pudding Snack
7018,3.26,19.57,13.04,1.09,0.3048,456,478.36,23.92,0,Pudding Snacks
7019,23.64,12.73,9.09,10.91,2.63144,1293,1323.84,47.28,0,Pimento Cheese Spread
7020,28.57,47.62,33.33,14.29,0.51308,1992,2166.7,90.48,0,Classic Blend Trail Mix
7021,8.84,31.97,2.04,6.8,1.01854,996,1003.85,47.61,0,Thin Crust Supreme Pizza
7022,10.2,31.97,2.04,7.48,1.08966,1054,1068.45,49.65,0,Thin Crust Pizza
7023,10.2,31.97,2.04,7.48,1.03632,1025,1068.45,49.65,0,Thin Crust Pizza
7024,8.84,33.33,2.72,8.84,0.84582,1025,1061.65,51.01,0,Thin Crust Pizza
7025,17.5,5,2.5,0,0.14224,787,767.5,22.5,0,Unsweetened Coconut Milk
7026,50,21.43,3.57,25,1.54178,2389,2739.31,96.43,0,In Shell Peanuts
7027,46.43,25,3.57,21.43,1.81356,2389,2600.08,92.86,0,Dry Roasted Salted Peanuts
7028,50,26.67,16.67,20,1.016,2648,2743.39,96.67,0,Honey Roasted Peanuts
7029,50,17.86,3.57,25,0.99822,2389,2678.62,92.86,0,Party Peanuts
7030,53.57,17.86,3.57,21.43,0.99822,2540,2757.16,92.86,0,Roasted Almonds
7031,53.57,21.43,3.57,17.86,0.99822,2540,2757.16,92.86,0,Roasted Deluxe Mixed Nuts
7032,46.43,28.57,3.57,17.86,0.99822,2389,2600.08,92.86,0,Roasted Whole Cashews
7033,100,0,0,0,0,3586,3900,100,0,Canola Oil
7034,0.44,5.31,1.77,0.88,0.31496,113,122.39,6.63,0,Whole Kernel Sweetcorn
7035,0,1.77,0.88,0.88,0.31496,38,45.05,2.65,0,Cut Green Beans
7036,0,4.42,2.65,1.77,0.31496,113,105.23,6.19,0,Sweet Peas
7037,21.18,42.35,29.41,4.71,0.5969,1573,1626.04,68.24,0,Cheesecake
7038,17.7,35.4,24.78,4.42,0.47244,1335,1367.24,57.52,0,Cheesecake
7039,0,20,20,0,3.048,418,340,20,0,Mustard
7040,12.86,41.43,7.14,11.43,3.01244,1377,1400.16,65.72,0,Skillet Classics Hamburger Dinner Mix
7041,7.14,35.71,3.57,9.52,2.11582,1046,1047.37,52.37,0,Skillet Classics Hamburger Dinner Mix
7042,9.52,46.43,5.95,13.1,1.96596,1343,1383.29,69.05,0,"Chicken Dinner Mix, Cheesy Chicken & Broccoli"
7043,10,75,25,5,0.5715,1464,1750,90,0,Chewy Fiber Bars
7044,22.86,57.14,28.57,8.57,1.016,2033,2008.61,88.57,0,Sweet & Salty Granola Bars
7045,25.71,54.29,28.57,14.29,0.79756,2151,2168.55,94.29,0,Granola Bar
7046,16.67,69.05,28.57,9.52,0.90678,1891,1985.82,95.24,0,"Crunchy Granola Bars, Oats & Honey"
7048,17.65,73.53,35.29,2.94,1.12014,1971,1988.34,94.12,0,"Dunksters, Sandwich Cookies, Original, Vanilla"
7049,20.59,70.59,38.24,5.88,1.19634,1971,2103,97.06,0,"Dunksters, Chocolate Sandwich Cookies"
7050,4.17,51.67,1.67,8.33,0.1905,1184,1182.63,64.17,0,Thin Pizza Crust
7051,28.12,6.25,0,28.12,0.47752,1569,1680.97,62.49,0,Swiss Cheese
7052,31.25,3.12,0,21.88,1.82626,1699,1643.75,56.25,0,Colby Jack Cheese
7053,46.43,28.57,3.57,17.86,0.99822,2389,2600.08,92.86,0,Roasted Cashews & Halves Pieces
7054,46.43,28.57,7.14,21.43,1.99644,2389,2660.77,96.43,0,Salted Roasted Pistachios In Shell
7055,53.57,21.43,3.57,17.86,0.99822,2540,2757.16,92.86,0,Deluxe Mixed Nuts
7056,53.57,17.86,3.57,21.43,0.99822,2540,2757.16,92.86,0,Roasted Almonds
7057,7.06,32.94,3.53,9.41,1.88214,983,995.29,49.41,0,Pizza Bites
7058,0.71,12.14,8.57,0,0,209,234.07,12.85,0,Blueberries
7059,0,12.14,7.14,0,0,209,206.38,12.14,0,Unsweetened Berrymedley
7060,10,3.33,3.33,3.33,0.254,556,503.22,16.66,0,Ultra-Pasteurized Half & Half
7061,0,10,6.67,3.33,0.21082,280,226.61,13.33,0,Half & Half
7062,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Small Shells, Enriched Macaroni Product"
7063,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Farfalle, Enriched Macaroni Product"
7064,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Rigatoni, Enriched Macaroni Product"
7065,1.79,71.43,3.57,12.5,0.04572,1494,1496.62,85.72,0,Spaghetti
7066,1.79,71.43,3.57,12.5,0.04572,1494,1496.62,85.72,0,Penne Rigate
7067,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,Eggless Noodle Style Pasta
7068,1.79,57.14,1.79,17.86,0,1343,1344.81,76.79,0,Multigrain Spaghetti Noodles
7069,1.79,57.14,1.79,17.86,0,1343,1344.81,76.79,0,Rotini
7070,21.21,69.7,36.36,3.03,0.84582,2029,2063.6,93.94,0,"Cookies, Chocolate Chip"
7071,28.12,62.5,31.25,3.12,0.87376,2092,2212.22,93.74,0,"Real Chunky Cookies, Chocolate Chip"
7072,30,63.33,10,6.67,0.80518,2230,2360,100,0,Pecan Shortbread Cookies
7073,20.69,68.97,44.83,3.45,1.05156,2021,2038.05,93.11,0,"Double Dunksters, Chocolate Sandwich Cookies, Fudge"
7074,20.69,68.97,41.38,3.45,1.00838,2021,2038.05,93.11,0,"Double Dunksters Chocolate Sandwich Cookies, Original"
7075,1.69,77.97,28.81,8.47,0.90424,1347,1535.39,88.13,0,"Bran Crunchy Wheat Flakes Cereal, Raisin"
7076,3.57,75,7.14,10.71,3.53822,1644,1596.3,89.28,0,"Stuffing Mix, Turkey"
7078,3.12,81.25,25,9.38,1.07188,1569,1662.39,93.75,0,"Whole Grain Oat Cereal, Cinnamon"
7079,100,0,0,0,0,3887,3900,100,0,Refined Coconut Oil
7080,100,0,0,0,0,3887,3900,100,0,Refined Coconut Oil
7081,100,0,0,0,0,3887,3900,100,0,Virgin Coconut Oil
7082,2.08,5.42,5,3.33,0.13208,226,229.87,10.83,0,100% Lactose Free Reduced Fat Milk
7083,0,88.24,0,5.88,0,1724,1600.04,94.12,0,Puffed Rice Cereal
7084,2.21,5.31,3.54,10.62,0.96774,335,357,18.14,0,Small Curd Cottage Cheese
7085,20,6.67,6.67,3.33,1.778,837,950,30,0,"Toasted Onion Dip, Sour Cream"
7086,16.67,6.67,6.67,3.33,1.44018,837,820.13,26.67,0,"Dill Dip Ranch, Sour Cream"
7087,0,0.42,0.42,0.42,0.90932,8,14.28,0.84,0,Chicken Broth
7088,25,67.86,32.14,3.57,1.72466,2092,2189.31,96.43,0,Popcorn
7089,2.68,73.21,3.57,12.5,0,1569,1561.59,88.39,0,Spaghetti
7090,2.68,73.21,3.57,12.5,0,1569,1561.59,88.39,0,100% Whole Grain Penne Rigate Whole Wheat Macaroni Product
7091,0,100,88.89,0,0,1628,1700,100,0,"Sugar Sweetened Ice Tea Mix, Lemon"
7092,4.35,86.96,52.17,0,0.27686,1636,1647.97,91.31,0,"Transformers, Fruit Flavored Snacks"
7094,32.26,54.84,38.71,9.68,0.65532,2293,2354.98,96.78,0,Roasted Whole Cashews
7095,34.29,48.57,25.71,14.29,1.23444,2272,2405.93,97.15,0,"Whole Roasted Cashews, Salted Caramel"
7097,7.69,69.23,23.08,7.69,1.36652,1611,1607.55,84.61,0,Graham Cracker Crumbs
7098,12.5,71.43,0,10.71,1.45034,1941,1883.88,94.64,0,"Wheats, Baked Whole Wheat Crackers"
7099,11.84,31.58,22.37,3.95,0.14986,992,1065.77,47.37,0,"Ice Cream, Chocolate Fudge Brownie"
7100,10.96,30.14,24.66,2.74,0.38354,975,986.4,43.84,0,Ice Cream
7101,12.5,36.03,4.41,2.21,0.635,1017,1137.58,50.74,0,Pre-Baked Apple Pie
7102,11.76,34.56,15.44,2.21,0.6731,1046,1083.73,48.53,0,Wildberry Orchard Pie
7103,13.24,59.56,32.35,2.94,1.08204,1506,1578.86,75.74,0,Crunch Pie
7104,0,0,0,0,0,0,0,0,0,Juice
7105,21.05,34.21,28.95,5.26,0.3683,1431,1491.94,60.52,0,Ice Cream Bar
7106,11.11,41.27,23.81,4.76,0.32258,1130,1215.8,57.14,0,Ice Cream Sandwiches
7107,10,40,20,5,0.29718,1117,1155,55,0,Ice Cream Sandwiches
7108,16.13,70.97,12.9,6.45,1.88468,1891,1945.21,93.55,0,Wheat Crackers
7109,3.12,84.38,18.75,6.25,1.07188,1569,1662.39,93.75,0,Honey & Oats Multi-Grain Cereal
7110,9.62,71.15,32.69,5.77,1.17348,1611,1682.82,86.54,0,Frosted Toaster Pastries
7111,0,85.19,7.41,7.41,2.25806,1548,1574.2,92.6,0,Rice Squares Cereal
7112,5.36,75,3.57,10.71,1.45034,1494,1666.11,91.07,0,Toasted Oats
7113,3.33,76.67,6.67,13.33,1.35382,1674,1659.87,93.33,0,Toasted Oats Cereal
7114,13.24,27.94,20.59,2.94,0.24384,983,1041.32,44.12,0,Ice Cream
7115,0,6.4,4.8,0.8,0.508,134,122.4,7.2,0,Small Whole Beets
7116,0,6.67,5,0.83,0.52832,138,127.5,7.5,0,Diced Beets
7117,0,5,3.33,0.83,0.52832,105,99.11,5.83,0,Sliced Carrots
7118,0,9.09,0.61,0.61,0.4318,176,164.9,9.7,0,Sliced White Potatoes
7119,0,8.97,0.64,0.64,0.45466,188,163.37,9.61,0,Whole White Potatoes
7120,0.4,8,4.8,2.4,0.6096,201,192.4,10.8,0,Peas & Sliced Carrots
7121,4.55,70.91,3.64,14.55,0.09144,1598,1630.27,90.01,0,Amish Style Enrich Egg Noodles
7122,4.55,70.91,3.64,14.55,0.09144,1598,1630.27,90.01,0,Wide Amish Style Enriched Egg Noodles
7123,4.55,70.91,3.64,14.55,0.09144,1598,1630.27,90.01,0,Amishstyle Enriched Egg Noodles
7124,8.57,30.71,5,10.71,1.57734,987,1038.37,49.99,0,Rising Crust Pepperoni Pizza
7125,11.92,29.14,4.64,12.58,1.46304,1138,1174.12,53.64,0,Thin & Crispy Pizza Crust
7126,10.08,27.91,6.2,13.18,1.397,1038,1091.65,51.17,0,Thin & Crispy Crust 3 Meat Pizza
7127,11.11,28.57,5.56,14.29,1.22936,1096,1161.91,53.97,0,Thin & Crispy Crust Pizza
7128,0,18.03,13.11,0,0.01016,310,306.51,18.03,0,Tropical Fruit Salad
7129,0,17.19,14.84,0,0.02032,326,292.23,17.19,0,Yellow Cling Peaches In Heavy Syrup
7130,0,9.84,9.02,0,0.02032,172,167.28,9.84,0,Lite Yellow Cling Sliced Peaches
7131,0,13.57,10.71,0,0,238,230.69,13.57,0,Sliced Pineapple
7132,9.38,50,0,12.5,13.49248,1569,1428.32,71.88,0,Noodle Soup Mix
7133,0,66.67,0,11.11,16.36776,1163,1322.26,77.78,0,Onion Soup & Recipe Mix
7134,0,17.92,7.08,0.42,0.0381,297,311.78,18.34,0,100% Prune Juice
7135,0,10.42,10,0,0.0381,176,177.14,10.42,0,Juice
7136,0,11.67,11.67,0,0.0381,192,198.39,11.67,0,Apple Cider
7137,0,11.67,11.67,0,0.0381,192,198.39,11.67,0,Juice
7138,0,11.67,11.67,0,0.0381,192,198.39,11.67,0,100% Juice
7139,0,0,0,0,2.54,0,0,0,0,Unsweetened Drink Mix
7140,0,0,0,0,0,0,0,0,0,Unsweeteened Drink Mix
7141,0,0,0,0,0,0,0,0,0,Unsweetened Drink Mix
7142,0,94.44,94.44,0,0,1628,1605.48,94.44,0,Drink Mix
7143,0,100,94.12,0,0,1477,1700,100,0,Drink Mix
7144,0,100,94.12,0,0,1724,1700,100,0,Drink Mix
7145,0,100,94.12,0,0,1724,1700,100,0,Drink Mix
7146,0,100,94.12,0,0,1724,1700,100,0,Drink Mix
7147,0,0,0,0,0,0,0,0,0,Lemonjuice
7148,0,6.67,5,0.83,0.52832,138,127.5,7.5,0,Sliced Beets
7149,0,7.5,5,0.83,0.52832,138,141.61,8.33,0,Diced Beets
7150,1.79,0,0,21.43,1.04394,448,434.12,23.22,0,Premium Chunk White Chicken In Water
7151,0.4,9.6,4.8,3.2,0.6096,234,233.2,13.2,0,Very Young Small Early Peas
7152,0,38.03,33.8,1.41,0,649,670.48,39.44,0,Premium Orange Juice
7153,0,38.03,33.8,1.41,0,649,670.48,39.44,0,"Premium Juice Concentrate, Orange"
7154,0,38.03,33.8,1.41,0,649,670.48,39.44,0,Premium Orange Juice Concentrate
7155,0,64.44,60,2.22,0,1021,1133.22,66.66,0,Premium Lemonade Concentrate
7156,0,50.68,50.68,1.37,0.10414,858,884.85,52.05,0,Premium Juice Cocktail Frozen Concentrate
7157,0,40.85,40.85,1.41,0.03556,707,718.42,42.26,0,Apple Juice
7158,20,37.5,2.5,7.5,1.2065,1464,1545,65,0,Garlic Toast With Crushed Garlic
7159,22.22,50,5.56,5.56,0.98806,1858,1811.1,77.78,0,Traditional Piecrusts
7160,1.11,23.33,7.78,3.33,0,464,496.51,27.77,0,Super Sweet Whole Kernel Golden Corn
7161,10.13,22.78,0,11.39,1.25476,954,975.96,44.3,0,"Minced Fish Sticks, Crunchy"
7162,0,40,20,0,0,837,680,40,0,Maraschino Cherries
7163,0,40,20,0,0,837,680,40,0,Green Maraschino Cherries
7164,0,40,20,0,0,837,680,40,0,Maraschino Cherries
7165,0,40,20,0,0,837,680,40,0,Maraschino Cherries
7166,0,0,0,0,3.44678,0,0,0,0,Whole Dill
7167,0,26.67,26.67,0,1.86182,418,453.39,26.67,0,Sweet Salad Cubes
7168,0,3.57,0,0,1.905,0,60.69,3.57,0,Sandwich Slices Kosher Dill
7169,0,28.57,25,0,1.45034,448,485.69,28.57,0,Sandwich Slices Bread & Butter
7170,0,0,0,0,3.35534,0,0,0,0,Sliced Hamburger Dill Pickle
7171,0,3.57,0,0,1.905,0,60.69,3.57,0,Whole Kosher Dill
7172,0,3.57,0,0,1.905,0,60.69,3.57,0,Whole Polish Dill
7173,20.69,65.52,24.14,6.9,0.91948,2021,2038.05,93.11,0,Oatmeal Cookies
7174,0,66.67,46.67,20,2.54,1393,1473.39,86.67,0,Hot Cocoa Mix
7175,0,86.67,53.33,0,0.508,1464,1473.39,86.67,0,Pancake& Waffle Syrup
7176,0,93.33,58.33,0,0.55118,1602,1586.61,93.33,0,Syrup
7177,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,Elbow Macaroni
7178,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,Spaghetti
7179,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,Rotini
7180,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,Spaghetti
7181,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,Thin Spaghetti
7182,0.77,73.85,1.54,12.31,0,1544,1494.75,86.93,0,Elbow Macaroni
7183,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,"Largeshells, Enriched Macaroni Product"
7184,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,Elbow Macaroni
7185,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Spaghetti, Enriched Macaroni Product"
7186,3.06,71.43,2.04,14.29,0.07874,1623,1576.58,88.78,0,Egg Noodle Enriched Macaroni Product
7187,3.28,70.49,1.64,14.75,0.08382,1577,1577,88.52,0,Egg Noodles
7188,3.57,71.43,1.79,14.29,0.09144,1569,1596.47,89.29,0,Egg Noodles
7189,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,Large Shells Enriched Macaroni Product
7190,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Enriched Macaroni Product, Fettuccini Pasta"
7191,0.77,73.85,1.54,12.31,0,1544,1494.75,86.93,0,Elbow Macaroni Enrich Macaroni Product
7192,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,Spaghetti
7193,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,Thin Spaghetti
7194,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,"Vermicelli, Enriched Macaroni Product"
7195,0.89,75,1.79,12.5,0,1494,1522.21,88.39,0,"Fettuccine Pasta, Enriched Macaroni Product"
7196,1.79,73.21,3.57,12.5,0,1494,1526.88,87.5,0,"Rotelle, Enriched Macaroni Product"
7197,0,100,100,0,0,1569,1700,100,0,Light Brown Sugar
7198,12.5,50,0,25,0,1046,1762.5,87.5,0,Cocoa Powder
7199,0,0,0,0,0,0,0,0,0,Dual Flow Tea Bags
7200,0,66.67,33.33,0,26.24582,1393,1133.39,66.67,0,Au Jus Gravy Mix
7201,0,78.95,0,10.53,0.20066,1540,1521.16,89.48,0,Mashed Potatoes
7202,0,74.19,3.23,9.68,0,1485,1425.79,83.87,0,Bleached & Enriched All Purpose Flour
7203,26.67,53.33,33.33,6.67,1.016,1954,2060.13,86.67,0,Sweetened Coconut Flake
7204,1.39,61.11,2.78,19.44,0,1163,1423.56,81.94,0,Pinto Beans
7205,1.39,61.11,2.78,19.44,0,1163,1423.56,81.94,0,Pinto Beans
7206,1.39,61.11,2.78,19.44,0,1163,1423.56,81.94,0,Pinto Beans
7207,1.39,61.11,2.78,19.44,0,1163,1423.56,81.94,0,Pinto Beans
7208,0,62.86,2.86,20,0.14478,837,1408.62,82.86,0,Large Lima Beans
7209,1.39,61.11,2.78,22.22,0,1163,1470.82,84.72,0,Great Northern Beans
7210,1.39,61.11,2.78,22.22,0,1163,1470.82,84.72,0,Great Northern Beans
7211,1.39,61.11,2.78,22.22,0,1163,1470.82,84.72,0,Great Northern Beans
7212,0,60,2.22,24.44,0.14224,1021,1435.48,84.44,0,Green Split Peas
7213,0,57.89,2.63,23.68,0.13462,770,1386.69,81.57,0,Red Kidney Beans
7214,0,59.38,0,25,0.04064,916,1434.46,84.38,0,Lentils
7215,0,78.72,0,6.38,0,1515,1446.7,85.1,0,Mediumgrain Rice
7216,0,80,0,6.67,0,1490,1473.39,86.67,0,Enriched Long Grain Rice
7217,0,78.72,0,6.38,0,1515,1446.7,85.1,0,Medium Grain Rice
7218,0,78.72,0,6.38,0,1515,1446.7,85.1,0,Enriched Medium Grain Rice
7219,0,80,0,6.67,0,1490,1473.39,86.67,0,Enriched Long Grain Rice
7220,0,80,0,6.67,0,1490,1473.39,86.67,0,Enriched Long Grain Rice
7221,22.58,9.68,6.45,12.9,3.60426,1213,1264.48,45.16,0,Cheddar Pasteurized Cheese Snack
7222,22.58,9.68,6.45,12.9,3.52298,1213,1264.48,45.16,0,American Pasteurized Real Cheese Snacks
7223,0,52.17,52.17,34.78,1.37922,1456,1478.15,86.95,0,Milk
