,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
20546,0,11.5,9.73,0,0,184,195.5,11.5,0,Organic Apples & Blueberries
20547,0,13.27,9.73,0,0.03302,222,225.59,13.27,0,"Organic, Baby Food Puree, Pears & Raspberries"
20548,0,16.81,14.16,0,0,297,285.77,16.81,0,Pears & Mangos
20549,0,15.49,8.45,0,0,234,263.33,15.49,0,First Prunes
20550,7.89,68.42,31.58,5.26,0.60198,1540,1560.27,81.57,0,"Organic Sunny Days Snack Bars, Apple"
20551,7.89,68.42,31.58,5.26,0.60198,1540,1560.27,81.57,0,Organic Sunny Days Snack Bars
20552,15,75,30,5,0.508,1883,1945,95,0,"Organic Letter Of The Day Cookies, Oatmeal Cinnamon"
20553,19.05,66.67,28.57,4.76,0.90678,1795,1957.26,90.48,0,"Organic Letter Of The Day Cookies, Very Vanilla"
20554,20,60,10,5,1.143,1674,1885,85,0,Sesame street crackers
20555,5.26,68.42,31.58,5.26,0.60198,1540,1457.7,78.94,0,Organic Sunny Days Snack Bars
20556,9.38,43.75,9.38,6.25,1.11252,1176,1215.82,59.38,0,"Organic Mini Waffles, Blueberry"
20557,10.94,43.75,6.25,6.25,1.34874,1046,1276.66,60.94,0,"Organic, Organic Mini Waffles"
20559,2.5,35,7.5,5,0.889,732,777.5,42.5,0,"Organic, Organic Mini Pancakes"
20560,5.36,17.86,1.79,19.64,1.22428,895,846.54,42.86,0,Baked Chicken Nuggets
20561,5.36,17.86,1.79,19.64,1.22428,895,846.54,42.86,0,Baked Popcorn Chicken
20562,5.36,17.86,1.79,19.64,1.22428,895,846.54,42.86,0,Chicken Nuggets For Kids
20563,6.25,17.86,1.79,12.5,0.90678,749,759.87,36.61,0,"Kidz, Fish Nuggets"
20564,2.65,30.97,1.77,7.96,0.44958,741,765.16,41.58,0,Mini Mac 'N Cheese Ravioli
20565,2.21,30.09,0.88,7.08,0.36068,703,718.08,39.38,0,"Ravioli, Mini Cheese"
20566,19.64,7.14,1.79,14.29,1.63322,1121,1130.27,41.07,0,Mini Beef Meatballs For Kids
20567,11.9,23.81,2.38,7.14,1.0287,1494,990.25,42.85,0,Broccoli & Cheese Nuggets
20568,8.93,19.64,0,10.71,0.40894,895,864.22,39.28,0,Chicken Nuggets
20569,9.52,33.33,4.76,4.76,0.84582,1197,1018.81,47.61,0,Nuggets
20570,19.64,7.14,1.79,14.29,1.63322,1121,1130.27,41.07,0,Mini Beef Meatballs For Kids
20571,6.25,21.43,1.79,12.5,1.22428,820,820.56,40.18,0,Fish Nuggets For Kids
20572,10,48.89,6.67,2.22,1.29794,1209,1258.87,61.11,0,"Gluten Free French Toast Sticks, Cinnamon"
20573,5,38,2,8,1.4732,920,977,51,0,"Stuffed Pretzels For Kids, Mozzarella Cheese, Pizza Sauce"
20574,0,11.76,8.24,0,0,197,199.92,11.76,0,"Organic, Organic Fruit Cups For Kids, Mango & Berry"
20575,0,11.76,7.06,0,0,197,199.92,11.76,0,"Organic, Organic Fruit Cups For Kids, Berry Blend"
20576,10.53,26.32,3.51,12.28,1.33604,1100,1066.87,49.13,0,"Beef, Cheese & Veggie Taco Seasoned For Kids"
20577,0.44,13.27,7.96,0.88,0.01016,259,257.71,14.59,0,"Organic Pureed Baby Food, Banana, Apple, Brown Rice"
20578,0,17.7,9.73,0.88,0,184,315.86,18.58,0,Organic Prunes Pureed Baby Food
20579,0,7.96,4.42,0.88,0.12446,146,150.28,8.84,0,Carrots
20580,0,17.7,3.54,1.77,0.13462,335,330.99,19.47,0,"Organic, Organic Sweet Potatoes"
20581,0.88,12.39,1.77,2.65,0.03302,259,290,15.92,0,Peas & Brown Rice
20582,0.44,8.85,0.88,1.77,0.03302,184,197.7,11.06,0,Green Beans & Rice
20583,0,7.08,4.42,0.88,0.12446,146,135.32,7.96,0,Organic Winter Squash
20584,0.44,11.5,2.65,0.88,0.0889,259,227.62,12.82,0,Corn & Butternut Squash
20585,0,10.62,0.88,1.77,0.06858,222,210.63,12.39,0,Organic Spinach & Potato
20586,0,15.93,14.16,0.88,0.02286,297,285.77,16.81,0,"Organic, Banana Mango"
20587,0,12.39,7.08,0.88,0.01016,222,225.59,13.27,0,Organic Apple Butternut Squash
20588,0,16.81,5.31,0.88,0.01016,297,300.73,17.69,0,Organic Veggie & Fruit Blends
20589,3.1,10.62,2.65,3.54,0.06858,335,361.62,17.26,0,"Gourmet Meals, Organic Creamy Chicken Apple Compote"
20590,0,12.5,10,0.83,0.0635,243,226.61,13.33,0,"Organic Baby Food Puree, Pear Carrot Apricot"
20591,0.83,13.33,11.67,0.83,0,280,273.09,14.99,0,Organic Apple Peach Oatmeal Fruit & Grain Puree
20592,0,14.17,10.83,0.83,0.02032,243,255,15,0,Pear Apricot Barley Fruit & Grain Puree
20593,0.42,15.83,11.67,0.83,0.02032,280,299.6,17.08,0,Organic Banana Raspberry Brown Rice
20594,1.67,12.22,11.11,3.33,0.07112,326,329.48,17.22,0,"Organic, Greek Yogurt Smoothie, Cherry"
20595,1.15,16.09,13.79,1.15,0.02794,335,337.93,18.39,0,Organic Yogurt Smoothie
20596,0.57,20.69,14.94,1.15,0.02794,385,393.51,22.41,0,Peach Pear Yogurt Smoothie
20597,0.83,13.33,11.67,0.83,0,280,273.09,14.99,0,Apple Peach Oat Meal
20598,0.44,15.93,8.85,0.88,0,297,302.93,17.25,0,"Oeganic Baby Food Puree, Sweet Potato Apple"
20599,0,12.39,7.96,0.88,0.02286,222,225.59,13.27,0,Organic Butternut Squash Pear
20600,0,18.58,16.81,0.88,0,335,330.82,19.46,0,"Baby Food Puree, Orange Banana"
20601,0,17.7,15.04,0.88,0.03302,335,315.86,18.58,0,Organic Banana Blueberry
20602,0,14.16,12.39,0,0,259,240.72,14.16,0,Organic Baby Food Puree
